"Biomarkers for left hand group from scores plot","VIP","Name"
"DENND5A",1.88656021444557,"DENND5A"
"DIP2C",2.4841685541865,"DIP2C"
"DKK1",1.90004380410685,"DKK1"
"DMKN",2.35758352246568,"DMKN"
"DNAJB1",1.93232528233973,"DNAJB1"
"DNAJB2",1.9120907596303,"DNAJB2"
"DNAL1",2.02412256591632,"DNAL1"
"DOCK6",2.1607608019727,"DOCK6"
"DOLK",1.99798164733843,"DOLK"
"DPCD",1.95131142041539,"DPCD"
"DRAM1",2.28908984605196,"DRAM1"
"DSP",2.20434503261453,"DSP"
"DUSP3",2.01269499523824,"DUSP3"
"DYNC1LI2",2.09354871389367,"DYNC1LI2"
"DYNLT1",1.91950393988064,"DYNLT1"
"EDN1",2.00255459512982,"EDN1"
"EFNA1",2.02887165968966,"EFNA1"
"EFNA5",2.62643733276697,"EFNA5"
"EFNB2",1.99354334377087,"EFNB2"
"EFR3A",2.14992780718474,"EFR3A"
"EGFR",2.43050587249716,"EGFR"
"EMP2",1.9239568107572,"EMP2"
"EPHA2",2.26796125204106,"EPHA2"
"EPHX1",2.27959660427814,"EPHX1"
"EPS8",2.1231781120144,"EPS8"
"ERBB3",2.19844153880547,"ERBB3"
"ERRFI1",2.45993789640621,"ERRFI1"
"ETNK2",2.2379245174133,"ETNK2"
"EXOC6B",1.90745843119841,"EXOC6B"
"EXT1",2.00529883736697,"EXT1"
"F2RL1",2.14330837554353,"F2RL1"
"FAHD1",1.98321968085673,"FAHD1"
"FAIM",1.91308308362816,"FAIM"
"FAM114A1",2.56113027479849,"FAM114A1"
"FAM127A",2.33158452846647,"FAM127A"
"FAM127B",2.07264209211035,"FAM127B"
"FAM129B",2.42328353446389,"FAM129B"
"FAM171B",1.88616944452886,"FAM171B"
"FAM57A",1.95154108753242,"FAM57A"
"FARP1",1.96571171683411,"FARP1"
"FBLIM1",2.56330581403175,"FBLIM1"
"FBXL18",1.99022794743505,"FBXL18"
"FBXL2",2.37732147962808,"FBXL2"
"FBXO36",1.90460965057571,"FBXO36"
"FCHO2",2.56298575460427,"FCHO2"
"FER1L4",2.09834469279805,"FER1L4"
"FGD1",2.10020648171196,"FGD1"
"FHL2",2.27715481714269,"FHL2"
"FIGN",2.01274843366373,"FIGN"
"FJX1",2.00577478109275,"FJX1"
"FKBP9",2.23492000839184,"FKBP9"
"FLJ23867",2.02887562293476,"FLJ23867"
"FLNB",2.17035832615778,"FLNB"
"FLOT1",1.9104397191982,"FLOT1"
"FNBP1L",2.15019250292557,"FNBP1L"
"FOXC1",1.92756617328947,"FOXC1"
"FSTL3",2.15432214737696,"FSTL3"
"FTH1",2.02713831878544,"FTH1"
"FUCA2",1.92385750882632,"FUCA2"
"FZD7",1.89398300880537,"FZD7"
"GAA",1.99381320161008,"GAA"
"GAS2L3",2.04094053249185,"GAS2L3"
"GCNT2",2.01084356895089,"GCNT2"
"GGCX",2.02044811019644,"GGCX"
"GIPC1",2.36451476628572,"GIPC1"
"GLIS2",2.2461213591388,"GLIS2"
"glyceraldehyde",2.67246635666385,"glyceraldehyde"
"glycerol",2.61418665268025,"glycerol"
"GNA11",2.69119318051199,"GNA11"
"GNAI1",2.13088398668449,"GNAI1"
"GNG12",2.67697569630509,"GNG12"
"GNPNAT1",2.09150996069778,"GNPNAT1"
"GNS",2.16645754399425,"GNS"
"GOLGA5",1.96103978835524,"GOLGA5"
"GPC1",2.43009312680821,"GPC1"
"GPR157",1.92547269038366,"GPR157"
"GPR176",2.11366649568134,"GPR176"
"GPR39",2.39542200486061,"GPR39"
"GPSM1",1.93779167853889,"GPSM1"
"GPX8",2.9388279929642,"GPX8"
"GRAMD3",1.94067790618239,"GRAMD3"
"GRB14",2.17151801454218,"GRB14"
"GRHL3",2.03471433555426,"GRHL3"
"GRINA",2.13075799646164,"GRINA"
"GSTA4",1.95712028587005,"GSTA4"
"GSTO2",1.99316384232655,"GSTO2"
"GTF2IRD1",2.45505116135384,"GTF2IRD1"
"guanosine",1.89395165481224,"guanosine"
"HDAC11",2.39024167342469,"HDAC11"
"HEATR5A",2.21155892439685,"HEATR5A"
"HEG1",1.9784295867767,"HEG1"
"HES4",1.96022214856457,"HES4"
"HIF1A",2.01591458169067,"HIF1A"
"HNRNPDL",1.92615288366836,"HNRNPDL"
"HOXA3",2.00340225312213,"HOXA3"
"HOXA4",2.06456517369536,"HOXA4"
"HRASLS",2.03608375319174,"HRASLS"
"HRH1",1.90144472181419,"HRH1"
"HSBP1L1",2.29239733676625,"HSBP1L1"
"HSD11B1L",1.98708242559651,"HSD11B1L"
"HSPA2",1.96071420397928,"HSPA2"
"HSPB1",2.52866856641953,"HSPB1"
"HSPG2",2.18697600693271,"HSPG2"
"HTRA1",2.16991213518692,"HTRA1"
"HYAL2",2.28371584595145,"HYAL2"
"hypoxanthine",2.38847653047758,"hypoxanthine"
"IER3",2.66509766732801,"IER3"
"IER5L",1.95497076289748,"IER5L"
"IFT22",1.95206003945507,"IFT22"
"IFT43",2.22296938318923,"IFT43"
"IGFBP3",1.9336559743776,"IGFBP3"
"IGFBP4",2.10262562472527,"IGFBP4"
"INHBB",2.28109630189527,"INHBB"
"inosine",2.39992335418187,"inosine"
"INPP4B",2.06892814189104,"INPP4B"
"IRF6",1.96559285006027,"IRF6"
"ITGA3",2.11657898064124,"ITGA3"
"ITGAV",2.16886326530402,"ITGAV"
"ITGB5",2.12774467178074,"ITGB5"
"ITLN1",1.9180734016472,"ITLN1"
"ITPRIPL2",2.13876369646733,"ITPRIPL2"
"ITSN1",1.89000148483025,"ITSN1"
"JDP2",1.98975610120791,"JDP2"
"JUN",2.11282086390013,"JUN"
"KCNMA1",1.92547811100583,"KCNMA1"
"KDELR2",2.15448218614853,"KDELR2"
"KDELR3",2.21613808303936,"KDELR3"
"KIAA1191",2.42581561683458,"KIAA1191"
"KIAA1522",2.49918181359277,"KIAA1522"
"KIAA1671",2.75644208066081,"KIAA1671"
"KIF12",1.89663105511061,"KIF12"
"KIF13A",2.49134310914379,"KIF13A"
"KIF1BP",2.12103657602704,"KIF1BP"
"KIF1C",2.30706852197958,"KIF1C"
"KIF3B",2.38311802682278,"KIF3B"
"KIFC3",1.90884354706205,"KIFC3"
"KLC3",1.95895926966843,"KLC3"
"KLF4",2.51399249348425,"KLF4"
"KLF5",2.28087148260773,"KLF5"
"KLHL29",2.09257619278987,"KLHL29"
"KRT8",2.05878158784803,"KRT8"
"KRT80",2.02439651324781,"KRT80"
"LAMB1",2.49159408582324,"LAMB1"
"LAMB2",2.66969232413138,"LAMB2"
"LAMC1",2.32638552740047,"LAMC1"
"LAMTOR1",1.93995626942776,"LAMTOR1"
"LAPTM4A",2.30709003415631,"LAPTM4A"
"LAPTM4B",2.24558839743073,"LAPTM4B"
"LDOC1",2.1054303854114,"LDOC1"
"LGALS3",2.71930975156561,"LGALS3"
"LGALSL",1.90067701486529,"LGALSL"
"LHFP",2.18126282961034,"LHFP"
"LHFPL2",2.44880704895483,"LHFPL2"
"LIF",2.47807167497804,"LIF"
"LIMA1",2.29905396964678,"LIMA1"
"LINC00472",1.95786352953776,"LINC00472"
"LINC00899",2.18085877916737,"LINC00899"
"LOC100129550",2.06481459821309,"LOC100129550"
"LOC101928076",2.2087978502337,"LOC101928076"
"LOC283140",2.07578994578649,"LOC283140"
"LOC728040",1.88524894346945,"LOC728040"
"LOC728061",2.01952814248076,"LOC728061"
"LOX",1.89180328719372,"LOX"
"LOXL1",1.99097956192578,"LOXL1"
"LPP",2.2482017683256,"LPP"
"LPPR2",2.45241440523935,"LPPR2"
"LRIG3",2.05207723486572,"LRIG3"
"LRP11",1.98133498703977,"LRP11"
"LRRC16A",2.0704998703992,"LRRC16A"
"LRRC73",2.01165052287982,"LRRC73"
"LRRC8E",2.32588726191616,"LRRC8E"
"LURAP1L",2.1218051433348,"LURAP1L"
"LZTS2",2.61433342092832,"LZTS2"
"LZTS3",2.13219453016642,"LZTS3"
"MAGIX",1.96390084072279,"MAGIX"
"MAL2",1.89885102277574,"MAL2"
"MANBAL",2.52053357679183,"MANBAL"
"MAP4K3",2.08181003794427,"MAP4K3"
"MDK",1.98768448613149,"MDK"
"MEIS3P1",2.07633670467536,"MEIS3P1"
"MET",2.02487938549747,"MET"
"METRN",2.01448243323433,"METRN"
"MGAT4B",1.96695554510418,"MGAT4B"
"MGAT5B",2.10891821941982,"MGAT5B"
