"Biomarkers for right hand group from scores plot","VIP","Name"
"HIST1H2AD",2.2809852479694,"HIST1H2AD"
"HIST1H2BO",1.90448987613075,"HIST1H2BO"
"HMGN2",1.9475183605842,"HMGN2"
"HMGN5",2.05458158256934,"HMGN5"
"HNRNPK",1.97342378785759,"HNRNPK"
"hypotaurine",1.9577705033636,"hypotaurine"
"ICAM2",1.96248135343213,"ICAM2"
"ICAM3",2.31915359635906,"ICAM3"
"IKZF1",2.83606427871949,"IKZF1"
"IL18RAP",2.186388150854,"IL18RAP"
"IL2RG",2.42708418899846,"IL2RG"
"ING3",1.99591462932851,"ING3"
"INPP4A",2.13573572018127,"INPP4A"
"INPP5D",2.62057253516324,"INPP5D"
"INSIG1",2.15915404322024,"INSIG1"
"ISL2",2.22729219644106,"ISL2"
"ITGAL",2.35839298357337,"ITGAL"
"ITGB3BP",2.50007248272223,"ITGB3BP"
"ITM2A",2.00519682252033,"ITM2A"
"JADE1",2.20049032737741,"JADE1"
"KAT2B",2.08455199189702,"KAT2B"
"KBTBD8",2.43344343100842,"KBTBD8"
"KCNAB2",1.91238634702295,"KCNAB2"
"KIAA0101",2.09012613577656,"KIAA0101"
"KIAA0226L",2.01428733400278,"KIAA0226L"
"KIF15",2.20081190216925,"KIF15"
"KIF21B",2.76976220030201,"KIF21B"
"KIF2A",2.21251796372335,"KIF2A"
"KLHL6",2.79562392517537,"KLHL6"
"KNTC1",2.24629061048074,"KNTC1"
"LAIR1",2.57572506953994,"LAIR1"
"LAPTM5",2.85729420135254,"LAPTM5"
"LAT",2.03235101579367,"LAT"
"LBR",2.30699657271089,"LBR"
"LCP1",2.73075497859108,"LCP1"
"LCP2",1.93526330382586,"LCP2"
"LCT",1.95273932427421,"LCT"
"LGALS9",2.22416189388217,"LGALS9"
"LIMD2",1.95338246809845,"LIMD2"
"LINC00909",1.90311154280205,"LINC00909"
"LINC01215",2.47730076709839,"LINC01215"
"LOC100506459",1.93627508988641,"LOC100506459"
"LOC100506844",1.89035272489936,"LOC100506844"
"LOC101060275",1.91172349181457,"LOC101060275"
"LOC101927027",2.36211205606854,"LOC101927027"
"LOC101929315",2.08038239061287,"LOC101929315"
"LOC283357",2.11588510047297,"LOC283357"
"LOC285957",2.32512791884933,"LOC285957"
"LRCH4",2.092453214922,"LRCH4"
"LRMP",2.7211161751674,"LRMP"
"LSM5",2.12554837903542,"LSM5"
"LSM6",2.09161019875966,"LSM6"
"LSP1",2.10088656019602,"LSP1"
"LTB",2.18173805593376,"LTB"
"LY9",2.243314943787,"LY9"
"LYL1",1.96581133622582,"LYL1"
"MAP3K4",2.30911104246483,"MAP3K4"
"MCM3",1.96194988209347,"MCM3"
