sample_name,gene_Y880_RS00170,gene_Y880_RS00950,gene_Y880_RS00960,gene_Y880_RS01375,gene_Y880_RS01385,gene_Y880_RS01515,gene_Y880_RS02065,gene_Y880_RS03625,gene_Y880_RS03630,gene_Y880_RS03750,gene_Y880_RS03800,gene_Y880_RS03840,gene_Y880_RS03875,gene_Y880_RS04305,gene_Y880_RS04445,gene_Y880_RS04650,gene_Y880_RS04655,gene_Y880_RS04825,gene_Y880_RS04830,gene_Y880_RS05000,gene_Y880_RS05070,gene_Y880_RS05295,gene_Y880_RS05300,gene_Y880_RS05975,gene_Y880_RS06015,gene_Y880_RS06270,gene_Y880_RS06495,gene_Y880_RS07035,gene_Y880_RS07275,gene_Y880_RS08330,gene_Y880_RS08985,gene_Y880_RS08990,gene_Y880_RS09715,gene_Y880_RS09720,gene_Y880_RS09725,gene_Y880_RS09730,gene_Y880_RS09870,gene_Y880_RS09875,gene_Y880_RS10120,gene_Y880_RS10825,gene_Y880_RS10875,gene_Y880_RS12160,gene_Y880_RS12450,gene_Y880_RS13200,gene_Y880_RS13395,gene_Y880_RS13880,gene_Y880_RS13960,gene_Y880_RS14210,gene_Y880_RS14250,gene_Y880_RS14430,gene_Y880_RS14535,gene_Y880_RS14625,gene_Y880_RS15030,gene_Y880_RS15035,gene_Y880_RS15250,gene_Y880_RS15310,gene_Y880_RS15355,gene_Y880_RS15885,gene_Y880_RS15890,gene_Y880_RS15895,gene_Y880_RS15900,gene_Y880_RS15905,gene_Y880_RS15910,gene_Y880_RS15915,gene_Y880_RS15925,gene_Y880_RS15935,gene_Y880_RS16260,gene_Y880_RS17000,gene_Y880_RS17300,gene_Y880_RS17935,gene_Y880_RS18385,gene_Y880_RS19020,gene_Y880_RS19025,gene_Y880_RS19470,gene_Y880_RS20050,gene_Y880_RS20055,gene_Y880_RS20065,gene_Y880_RS20070,gene_Y880_RS20075,gene_Y880_RS20080,gene_Y880_RS20265,gene_Y880_RS20565,gene_Y880_RS20570,gene_Y880_RS20575,gene_Y880_RS20580,gene_Y880_RS20780,gene_Y880_RS21240,gene_Y880_RS21245,gene_Y880_RS21250,gene_Y880_RS21255,gene_Y880_RS21260,gene_Y880_RS21265,gene_Y880_RS21270,gene_Y880_RS21470,gene_Y880_RS21565,gene_Y880_RS22000,gene_Y880_RS22365,gene_Y880_RS22370,gene_Y880_RS22375,gene_Y880_RS22380,gene_Y880_RS22385,gene_Y880_RS22390,gene_Y880_RS22395,gene_Y880_RS22410,gene_Y880_RS22415,gene_Y880_RS22700,gene_Y880_RS22970,gene_Y880_RS23310,gene_Y880_RS23650,gene_Y880_RS24055,gene_Y880_RS24060,gene_Y880_RS24670,gene_Y880_RS24675,gene_Y880_RS24775,gene_Y880_RS25285,gene_Y880_RS25425,gene_Y880_RS25430,gene_Y880_RS25450,gene_Y880_RS25455,gene_Y880_RS25460,gene_Y880_RS25465,gene_Y880_RS25470,gene_Y880_RS25500,gene_Y880_RS25680,gene_Y880_RS25770,gene_Y880_RS26075,gene_Y880_RS26325,gene_Y880_RS26505,gene_Y880_RS27670,gene_Y880_RS27675,gene_Y880_RS27905,gene_Y880_RS28115,gene_Y880_RS28470,gene_Y880_RS28475,gene_Y880_RS28480,gene_Y880_RS28485,gene_Y880_RS28490,gene_Y880_RS28775,gene_Y880_RS28795,gene_Y880_RS28800,gene_Y880_RS28805,gene_Y880_RS28820,gene_Y880_RS28830,gene_Y880_RS29330,gene_Y880_RS29390,gene_Y880_RS29430,gene_Y880_RS29435
PAK-2-1-C,3,177,11,165,90,512,505,52,56,33,24,18,41,29,77,51,31,301,140,217,15,13,33,29642,6,253,108,1,616,1,14,4,6,38,28,39,6,1,222,16,6,34,89,37,69,36,6,7,327,119,16,114,1022,76,46,91,1,18,40,7,24,4,2,237,457,104,220,45,286,731,179,33,35,1237,14,9,30,5,95,4,365,105,474,306,372,259,32,184,62,60,45,27,8,13,98,25,73,82,17,8,14,26,9,32,51,33,9,248,112,10,53,257,375,50,228,68,42,82,84,113,224,330,154,49,74,150,159,6736,6,22,66,244,7,4,9,35,11,165,621,1580,488,314,2460,57,28,1103,783
PAK-2-1-P,7,737,143,320,399,1033,1432,540,623,75,26,24,86,42,1462,47,51,15644,4994,3026,337,203,112,44216,9,837,21,8,1946,5,73,22,14,53,29,51,26,11,1630,72,30,41,634,119,78,36,20,5,590,258,42,267,1064,76,372,186,19,1300,3146,551,969,134,95,1768,411,155,193,72,4234,1524,244,104,262,874,50,26,245,66,870,75,766,250,1056,627,813,4024,65,312,90,84,69,31,14,15,259,101,2565,2977,765,470,529,184,31,308,416,181,2,364,452,23,83,363,570,245,298,562,273,324,349,747,1461,6118,204,28,1397,169,272,3578,24,38,266,460,282,135,438,219,38,409,3249,5903,1703,265,2219,62,257,2897,1632
PAK-1-1-P,6,282,27,185,147,678,918,181,163,38,19,27,69,39,443,24,590,9781,3309,1262,83,54,51,34824,6,371,44,3,941,1,22,8,9,36,27,28,6,5,584,29,19,32,217,46,57,23,9,3,502,126,24,306,893,68,113,124,3,592,1727,259,496,84,47,879,355,125,222,35,1368,982,170,34,120,930,41,7,179,36,729,53,473,137,658,324,475,1447,44,249,62,66,32,19,8,26,155,81,1346,1436,378,220,205,121,18,167,218,73,16,300,171,14,64,297,444,92,249,171,131,143,159,235,415,1688,170,30,440,146,162,4372,15,21,35,404,141,63,199,109,17,273,1763,3400,1207,225,1900,72,90,1792,1201
PAK-0-2,9,262,19,223,138,642,720,19,42,57,23,30,88,56,51,78,49,330,597,461,11,72,45,20528,7,276,24,5,379,0.001,44,17,19,43,29,13,3,8,359,97,34,26,133,116,58,33,17,8,271,232,19,513,1141,84,342,109,6,19,65,13,31,2,5,275,838,261,239,74,437,1064,138,22,24,1366,84,14,379,69,1230,77,331,141,429,176,223,243,119,199,100,73,49,30,16,25,138,109,79,62,39,22,40,64,31,77,67,54,11,256,218,22,94,447,287,205,168,94,76,192,125,113,105,305,180,29,119,167,121,7638,23,24,204,503,38,23,82,94,53,232,606,1621,1075,277,2263,25,113,1331,241
PAK-0-1,11,195,14,163,88,587,530,12,28,54,32,22,102,31,26,29,721,268,476,363,12,66,35,17209,3,303,14,6,393,1,30,12,3,30,10,12,3,6,250,48,20,14,93,61,50,17,7,1,265,248,9,390,921,75,286,93,5,12,45,4,27,9,2,223,396,159,204,43,343,809,95,11,19,837,56,16,291,43,1076,59,260,80,324,149,200,197,88,189,62,56,44,24,9,25,96,79,72,67,17,25,21,40,18,34,56,35,11,185,179,18,49,335,252,137,169,88,50,156,92,75,75,223,154,28,115,132,81,4549,17,14,32,333,51,14,43,89,21,181,503,1154,572,161,1574,20,77,825,163
PAK-1-1-C,6,147,15,170,110,469,767,67,61,30,17,21,53,43,93,29,615,363,176,294,12,15,38,32558,4,238,176,3,609,1,19,8,9,31,25,48,2,2,210,25,13,50,87,30,83,33,22,4,377,111,18,121,973,81,50,75,2,16,74,10,17,4,7,377,649,132,235,30,247,819,149,19,21,1470,40,4,60,4,100,5,456,123,477,279,395,331,20,274,58,43,36,19,8,40,144,41,102,117,35,19,19,47,18,58,64,40,13,313,80,20,80,327,518,47,272,57,47,69,60,83,137,274,164,61,81,182,128,7974,15,19,11,291,13,3,19,38,16,176,606,1657,766,353,2731,72,49,1449,1316
PAK-0-3,14,181,25,184,122,711,595,19,32,62,26,30,122,71,55,14,982,224,317,470,14,28,25,20903,9,256,24,4,858,2,28,9,12,60,16,25,1,4,128,74,29,20,94,88,87,24,16,4,452,191,15,258,1018,89,128,152,4,20,46,6,18,4,3,277,683,223,264,57,465,1098,164,21,20,1033,58,40,293,33,438,16,405,131,526,245,326,211,101,182,62,75,63,35,12,45,194,94,67,66,32,11,25,61,23,36,43,56,22,347,113,21,44,459,486,106,225,88,69,123,107,80,105,191,173,34,151,160,143,7264,17,28,33,391,35,14,50,79,36,357,1306,3085,1332,264,2080,27,137,1041,493
PAK-1-4-C,7,239,12,195,57,523,710,40,55,42,53,18,103,36,29,24,424,245,194,202,55,14,19,41912,5,176,59,10,619,0.001,35,19,11,34,21,32,2,4,242,21,13,39,85,22,93,48,21,5,361,67,28,298,680,71,54,81,1,12,45,8,11,2,2,33,154,179,312,58,207,503,377,16,41,1161,29,4,43,4,83,4,444,92,459,276,409,262,33,223,30,46,43,13,4,8,147,64,88,95,21,16,27,138,33,28,29,32,7,436,121,21,55,316,581,35,294,317,185,151,336,1190,2259,3422,276,40,199,198,242,4094,47,31,42,597,9,8,13,35,15,204,927,1805,768,369,3765,50,37,4610,3353
PAK-3-1-P,1,301,42,140,163,540,525,100,127,26,13,10,51,31,1300,13,454,7840,2290,1637,165,64,43,19399,6,380,9,2,965,6,81,29,9,28,12,18,6,7,439,42,8,25,290,38,34,15,2,1,368,98,24,165,555,28,140,77,39,605,1719,291,541,70,66,1094,97,74,137,18,1983,1146,100,51,125,562,17,16,100,29,411,35,389,115,606,281,315,3106,33,137,37,38,27,11,6,7,136,27,1543,1935,421,288,323,78,19,137,172,76,2,172,117,1,16,180,249,93,127,328,191,309,314,510,778,3574,81,20,594,80,114,2627,17,18,23,191,95,52,195,66,14,225,1923,3970,1386,126,1121,23,107,1664,809
P6-1-24-P,5,17,4,120,34,436,294,25,20,131,24,14,39,33,71,32,17,36922,14646,177,16,4,5,28686,7,41,26,7,286,0.001,26,11,14,64,37,109,41,9,23,17,25,38,72,30,46,20,11,4,293,16,15,72,999,64,10,72,0.001,1059,4300,784,1506,382,278,3104,31,44,234,18,122,127,71,5,8,2164,80,168,4709,845,13909,1117,114,45,231,135,164,116,75,22859,1431,1172,679,233,56,19,67,97,13804,13074,1927,767,860,243,38,492,606,45,6,144,24,8,40,130,267,13,114,23,15,33,18,27,48,93,111,44,44,151,61,6864,9,8,38,139,87,33,139,50,6,124,820,1629,802,245,2372,23,72,2367,1505
P6-3-24-C,11,160,18,104,67,330,266,18,30,34,37,20,80,29,35,43,21,27028,9713,145,21,13,19,21596,12,141,55,5,314,5,44,27,10,45,28,70,30,8,110,53,18,24,87,64,65,55,7,4,215,31,10,156,908,67,52,96,2,1528,5821,1152,1646,191,121,1758,58,85,195,123,140,186,148,11,24,702,36,50,4172,948,15444,1057,147,40,203,105,133,91,61,31844,1477,1319,623,262,69,12,71,116,16500,17948,2514,931,813,153,28,553,920,26,6,259,75,11,35,162,358,38,101,33,20,37,27,34,30,84,123,9,83,175,127,1707,30,16,120,635,208,88,242,120,17,123,689,1623,528,217,1818,42,71,3659,2444
P6-3-4-P,10,481,8,358,83,520,604,19,53,78,53,26,178,100,53,93,66,32893,10438,629,23,73,59,28274,12,376,12,7,1146,7,45,10,36,59,54,39,45,9,530,130,33,29,114,162,142,47,18,9,377,110,14,203,709,49,169,122,3,3042,8394,2216,3979,674,500,6433,89,145,243,102,803,528,237,46,102,575,65,35,1356,300,5545,463,310,91,466,371,700,349,97,109421,5570,6505,3304,2034,594,29,172,118,21071,21509,2732,920,1315,409,78,1705,2089,52,11,378,247,83,451,317,464,117,182,99,72,126,81,102,267,569,177,33,179,124,185,2314,11,13,171,1748,415,213,550,217,58,266,1499,2302,904,255,2626,33,130,6527,4281
P6-2-4-P,13,256,11,162,100,513,990,47,82,87,43,48,166,67,29,118,75,27663,7187,285,19,55,18,30529,28,268,20,12,253,3,34,4,37,86,44,18,24,15,733,226,43,39,115,306,57,78,32,14,134,140,18,192,971,53,271,148,6,1446,6565,1523,3274,614,369,6514,118,175,179,141,223,211,182,15,14,771,98,48,936,194,3527,284,200,84,241,136,209,413,200,129820,4786,5877,3374,1691,521,24,75,118,12910,8862,813,533,800,328,40,1288,1997,71,9,250,261,38,447,255,223,106,169,100,75,134,126,108,214,1600,199,28,248,79,97,2146,24,17,393,1814,305,141,625,438,84,101,1252,1863,935,155,1678,44,125,2566,1941
P6-2-24-C,8,193,6,117,56,301,386,10,21,121,35,16,55,29,81,18,23,34369,11561,175,35,9,12,26648,13,118,8,7,316,1,19,10,18,72,50,100,18,4,62,26,19,19,101,31,63,35,27,12,246,30,13,52,820,46,36,73,1,772,3862,760,1145,174,125,1747,16,47,236,29,158,131,109,12,4,927,69,196,4671,690,9151,700,98,41,163,104,121,217,96,22235,1740,1559,657,260,50,34,79,106,11340,11898,1629,761,1086,223,35,560,722,31,9,172,46,52,241,256,439,35,101,36,21,28,26,25,30,67,135,31,58,199,75,5149,19,20,27,180,277,98,273,87,18,138,553,1296,482,215,1711,21,52,4254,2302
P6-1-24-C,4,32,4,148,57,454,281,25,17,39,20,19,43,39,36,28,26,44263,17794,153,13,3,9,29745,14,56,92,8,276,3,50,18,9,52,27,56,27,14,16,37,17,31,47,47,60,31,24,6,260,19,17,101,646,50,20,72,1,1845,6158,1217,2733,600,414,5418,27,45,203,63,154,195,99,10,5,2240,68,109,3573,668,12323,716,175,56,244,148,174,76,54,26448,2318,2061,1064,556,114,29,66,52,18987,19668,2846,1162,1380,311,41,581,949,39,23,169,23,15,62,132,249,25,107,31,16,30,21,32,51,110,133,40,38,210,70,6570,8,9,61,279,87,37,158,74,16,138,496,1308,708,283,2728,53,70,2934,1963
P6-2-4-C,21,224,20,168,111,502,672,40,89,122,71,46,207,70,32,116,88,26593,8026,181,27,57,30,30662,43,252,11,10,200,0.001,25,14,32,80,52,19,20,8,630,168,45,37,102,265,103,100,56,12,151,139,17,196,814,53,203,126,5,1420,6733,1581,3109,570,379,6142,77,189,192,138,132,178,176,8,12,676,106,34,1058,199,3363,291,217,77,226,123,216,370,194,102059,4092,5374,3194,1677,521,31,84,97,13767,10460,1119,567,763,286,48,1449,1815,66,5,251,234,52,397,225,228,94,184,108,57,133,89,76,219,1056,178,22,186,96,84,1983,14,14,311,1624,305,179,662,453,90,109,904,1594,822,178,1743,63,91,3236,2595
P6-1-4-C,5,119,4,123,41,367,275,4,16,29,37,14,107,37,19,32,37,16762,6477,119,14,7,9,21998,5,127,5,4,372,0.001,7,6,8,27,11,16,20,4,155,18,7,17,31,16,73,41,11,7,235,22,5,105,322,17,24,56,0.001,811,2676,478,1199,284,201,3336,47,57,141,24,109,221,112,8,9,558,23,15,628,137,3022,238,204,44,237,139,186,119,24,43142,1737,2035,1253,620,194,15,65,32,10044,10349,1300,537,438,112,25,458,578,17,11,254,60,25,90,191,350,34,149,58,22,36,53,55,112,191,88,30,58,99,75,2027,11,5,67,502,73,26,67,54,16,131,525,1086,370,205,1858,13,57,3847,2132
P6-1-4-P,4,90,7,144,61,462,289,13,21,22,28,13,96,38,22,33,39,19712,7834,127,23,7,8,26993,6,78,10,4,399,0.001,10,8,11,31,19,33,25,10,102,16,9,28,27,11,74,40,10,6,260,27,10,103,523,31,13,77,1,887,3330,616,1416,319,243,3740,45,57,196,29,123,298,136,10,25,778,16,17,839,183,4117,370,237,71,294,149,198,118,25,53540,2088,2362,1496,639,247,19,76,40,12019,12492,1765,734,737,165,33,551,677,29,13,239,37,15,83,217,392,24,162,47,32,57,41,87,138,232,113,29,96,128,88,2880,27,12,81,464,53,17,76,42,18,150,836,1647,631,248,2336,21,50,4209,2661
P6-3-4-C,14,343,17,191,76,395,357,19,58,74,51,40,184,59,45,61,69,26439,8747,192,17,22,45,26379,11,254,11,19,521,2,21,9,21,67,20,29,40,11,356,110,25,21,94,115,130,75,26,9,315,67,20,172,338,25,123,130,5,2089,6924,1621,2608,490,390,5014,45,84,206,113,174,304,197,9,18,515,72,79,1683,370,5757,436,198,62,236,151,242,321,74,72166,4017,4772,2769,1429,486,24,101,94,17903,17715,2090,800,1055,305,59,1316,1547,43,12,312,169,80,348,253,371,67,182,70,63,94,68,56,195,355,137,30,111,112,153,2037,12,12,173,1483,413,165,425,198,55,176,902,1636,673,226,2197,26,70,5492,3710
PAK-3-24-C,9,1026,59,183,86,535,439,22,24,33,36,13,40,21,57,18,117,244,94,292,39,100,311,29528,10,1008,208,1,537,67,102,70,13,31,33,60,6,7,1999,17,18,75,60,19,60,21,14,4,356,351,16,343,1808,132,636,77,1,6,26,5,12,2,1,64,134,75,247,25,343,421,254,53,76,1947,20,2,25,6,72,4,244,66,278,160,213,144,16,159,19,24,14,7,24,11,132,50,49,57,20,9,19,26,9,19,27,121,8,396,1946,7,24,305,547,337,135,52,29,143,152,228,336,444,154,42,97,449,304,6457,48,43,34,215,13,1,13,9,5,209,2079,5467,2585,338,3012,35,27,3662,2065
PAK-2-24-C,2,203,11,186,57,470,342,6,17,28,22,15,39,20,50,15,22,126,54,188,20,12,34,39350,9,132,130,5,384,3,180,97,10,37,19,29,7,6,92,10,13,37,74,21,42,14,12,4,302,40,18,113,1315,93,44,48,1,10,20,1,8,1,3,54,111,75,266,11,102,254,117,8,13,2209,10,2,23,4,60,4,196,48,237,124,173,158,8,147,24,25,7,4,4,18,83,29,56,56,14,7,7,35,13,11,23,97,2,225,95,3,9,283,454,33,114,36,14,23,36,37,26,114,155,36,57,360,94,6437,62,49,58,79,4,4,4,14,7,197,714,1748,812,323,3332,42,19,2248,963
